player_id,player_name,positions,teams,n_matches,date_of_birth,height_cm,nationality,data_source
511828,CASTROP Jens,DEF,Korea Republic,3,,,,api.fifa.com
430387,CHO Guesung,FWD,Korea Republic,3,,,,api.fifa.com
522282,CHO Wije,DEF,Korea Republic,3,,,,api.fifa.com
406281,CJ DOS SANTOS,GK,Cabo Verde,4,,,,api.fifa.com
201200,CRISTIANO RONALDO,FWD,Portugal,5,,,,api.fifa.com
401167,Caglar SOYUNCU,DEF,Türkiye,3,,,,api.fifa.com
506279,Caleb YIRENKYI,MID,Ghana,4,,,,api.fifa.com
419567,Callan ELLIOT,DEF,New Zealand,3,,,,api.fifa.com
390196,Callum McCOWATT,MID,New Zealand,3,,,,api.fifa.com
382312,Cameron BURGESS,DEF,Australia,4,,,,api.fifa.com
430437,Cameron DEVLIN,MID,Australia,4,,,,api.fifa.com
360642,Camilo VARGAS,GK,Colombia,5,,,,api.fifa.com
486074,Can UZUN,FWD,Türkiye,3,,,,api.fifa.com
424556,Carl SAINTE,MID,Haiti,3,,,,api.fifa.com
441132,Carl STARFELT,DEF,Sweden,4,,,,api.fifa.com
397775,Carlens ARCUS,DEF,Haiti,3,,,,api.fifa.com
441260,Carlos ACEVEDO,GK,Mexico,5,,,,api.fifa.com
418729,Carlos HARVEY,DEF,Panama,3,,,,api.fifa.com
463800,Carney CHUKWUEMEKA,MID,Austria,4,,,,api.fifa.com
337251,Cecilio Waterman,FWD,Panama,3,,,,api.fifa.com
336425,Cedric BAKAMBU,FWD,Congo DR,4,,,,api.fifa.com
448104,Cedric ITTEN,FWD,Switzerland,6,,,,api.fifa.com
441242,Cesar BLACKMAN,DEF,Panama,3,,,,api.fifa.com
406135,Cesar HUERTA,FWD,Mexico,5,,,,api.fifa.com
395516,Cesar MONTES,DEF,Mexico,4,,,,api.fifa.com
441402,Cesar SAMUDIO,GK,Panama,3,,,,api.fifa.com
441243,Cesar YANIS,MID,Panama,3,,,,api.fifa.com
448607,Chadi RIAD,DEF,Morocco,6,,,,api.fifa.com
356532,Chancel MBEMBA,DEF,Congo DR,4,,,,api.fifa.com
448362,Charles DE KETELAERE,FWD,Belgium,6,,,,api.fifa.com
448128,Charles PICKEL,MID,Congo DR,4,,,,api.fifa.com
433191,Che Adams,FWD,Scotland,3,,,,api.fifa.com
494293,Chemsdine TALBI,MID,Morocco,6,,,,api.fifa.com
486168,Cherif NDIAYE,FWD,Senegal,4,,,,api.fifa.com
464546,Chris BRADY,GK,USA,5,,,,api.fifa.com
419062,Chris RICHARDS,DEF,USA,5,,,,api.fifa.com
274078,Chris WOOD,FWD,New Zealand,3,,,,api.fifa.com
514208,Christ Inao OULAI,MID,Côte d'Ivoire,4,,,,api.fifa.com
448124,Christian FASSNACHT,FWD,Switzerland,6,,,,api.fifa.com
390267,Christian PULISIC,FWD,USA,4,,,,api.fifa.com
494350,Christopher Bonsu BAAH,FWD,Ghana,4,,,,api.fifa.com
486260,Christopher OPERI,DEF,Côte d'Ivoire,4,,,,api.fifa.com
448152,Cody GAKPO,FWD,Netherlands,4,,,,api.fifa.com
430452,Connor METCALFE,MID,Australia,4,,,,api.fifa.com
215553,Craig GORDON,GK,Scotland,3,,,,api.fifa.com
395581,Cristian MARTINEZ,MID,Panama,3,,,,api.fifa.com
385994,Cristian ROLDAN,MID,USA,2,,,,api.fifa.com
431196,Cristian ROMERO,DEF,Argentina,8,,,,api.fifa.com
448015,Cristian VOLPATO,FWD,Australia,4,,,,api.fifa.com
489518,Crysencio SUMMERVILLE,FWD,Netherlands,4,,,,api.fifa.com
418881,Cucho HERNANDEZ,FWD,Colombia,5,,,,api.fifa.com
390670,Cyle LARIN,FWD,Canada,5,,,,api.fifa.com
482782,DAILON LIVRAMENTO,FWD,Cabo Verde,4,,,,api.fifa.com
335656,DANILO,DEF,Brazil,5,,,,api.fifa.com
429392,DANILO SANTOS,MID,Brazil,5,,,,api.fifa.com
477827,DEROY DUARTE,MID,Cabo Verde,4,,,,api.fifa.com
409241,DINEY BORGES,DEF,Cabo Verde,4,,,,api.fifa.com
403001,DIOGO COSTA,GK,Portugal,5,,,,api.fifa.com
403002,DIOGO DALOT,DEF,Portugal,5,,,,api.fifa.com
367981,DOUGLAS SANTOS,DEF,Brazil,5,,,,api.fifa.com
448557,Daichi KAMADA,MID,Japan,4,,,,api.fifa.com
430407,Daizen MAEDA,MID,Japan,4,,,,api.fifa.com
476348,Damian BOBADILLA,MID,Paraguay,5,,,,api.fifa.com
494345,Dan BURN,DEF,England,8,,,,api.fifa.com
448114,Dan NDOYE,FWD,Switzerland,6,,,,api.fifa.com
430750,Dani OLMO,FWD,Spain,8,,,,api.fifa.com
494429,Danial IRI,DEF,IR Iran,3,,,,api.fifa.com
431200,Daniel MUNOZ,DEF,Colombia,5,,,,api.fifa.com
491255,Daniel SVENSSON,DEF,Sweden,4,,,,api.fifa.com
466838,Danley JEAN JACQUES,MID,Haiti,3,,,,api.fifa.com
419126,Darwin NUNEZ,FWD,Uruguay,3,,,,api.fifa.com
520035,David AFFENGRUBER,DEF,Austria,4,,,,api.fifa.com
316002,David ALABA,DEF,Austria,4,,,,api.fifa.com
483936,David DOUDERA,DEF,Czechia,3,,,,api.fifa.com
483990,David JURASEK,DEF,Czechia,1,,,,api.fifa.com
483505,David MOLLER WOLFE,DEF,Norway,6,,,,api.fifa.com
