match_id,player_id,player_name,team,opponent_team,starter,minutes_played,saves,shots_faced,goals_conceded_on_pitch,clean_sheet,penalty_saves,punches,high_claims,errors,data_source
44,389879,Luca ZIDANE,Algeria,Jordan,1,91,,,1,0,,,,,api.fifa.com
44,520070,Melvin MASTIL,Algeria,Jordan,0,0,,,,,,,,,api.fifa.com
44,477817,Oussama BENBOT,Algeria,Jordan,0,0,,,,,,,,,api.fifa.com
45,403001,DIOGO COSTA,Portugal,Uzbekistan,1,92,,,0,1,,,,,api.fifa.com
45,368689,JOSE SA,Portugal,Uzbekistan,0,0,,,,,,,,,api.fifa.com
45,448092,RUI SILVA,Portugal,Uzbekistan,0,0,,,,,,,,,api.fifa.com
45,479110,Abduvohid NEMATOV,Uzbekistan,Portugal,1,92,,,5,0,,,,,api.fifa.com
45,479077,Utkir YUSUPOV,Uzbekistan,Portugal,0,0,,,,,,,,,api.fifa.com
45,385472,Botirali ERGASHEV,Uzbekistan,Portugal,0,0,,,,,,,,,api.fifa.com
47,336022,Jordan PICKFORD,England,Ghana,1,95,,,0,1,,,,,api.fifa.com
47,403046,Dean Henderson,England,Ghana,0,0,,,,,,,,,api.fifa.com
47,485080,James TRAFFORD,England,Ghana,0,0,,,,,,,,,api.fifa.com
47,494349,Benjamin ASARE,Ghana,England,1,95,,,0,1,,,,,api.fifa.com
47,386473,Lawrence Ati ZIGI,Ghana,England,0,0,,,,,,,,,api.fifa.com
47,506277,Joseph ANANG,Ghana,England,0,0,,,,,,,,,api.fifa.com
48,441241,Orlando MOSQUERA,Panama,Croatia,1,92,,,1,0,,,,,api.fifa.com
48,267702,Luis MEJIA,Panama,Croatia,0,0,,,,,,,,,api.fifa.com
48,441402,Cesar SAMUDIO,Panama,Croatia,0,0,,,,,,,,,api.fifa.com
48,369029,Dominik LIVAKOVIC,Croatia,Panama,1,92,,,0,1,,,,,api.fifa.com
48,514526,Ivor PANDUR,Croatia,Panama,0,0,,,,,,,,,api.fifa.com
48,448179,Dominik KOTARSKI,Croatia,Panama,0,0,,,,,,,,,api.fifa.com
46,360642,Camilo VARGAS,Colombia,Congo DR,1,94,,,0,1,,,,,api.fifa.com
