match_id,player_id,player_name,team,opponent_team,starter,minutes_played,saves,shots_faced,goals_conceded_on_pitch,clean_sheet,penalty_saves,punches,high_claims,errors,data_source
33,429639,Alexander NUEBEL,Germany,Côte d'Ivoire,0,0,,,,,,,,,api.fifa.com
33,405873,Yahia Fofana,Côte d'Ivoire,Germany,1,94,,,2,0,,,,,api.fifa.com
33,486259,Mohamed KONE,Côte d'Ivoire,Germany,0,0,,,,,,,,,api.fifa.com
33,403090,Alban Lafont,Côte d'Ivoire,Germany,0,0,,,,,,,,,api.fifa.com
34,441236,Hernan GALINDEZ,Ecuador,Curaçao,1,91,,,0,1,,,,,api.fifa.com
34,419002,Moises RAMIREZ,Ecuador,Curaçao,0,0,,,,,,,,,api.fifa.com
34,448295,Gonzalo VALLE,Ecuador,Curaçao,0,0,,,,,,,,,api.fifa.com
34,390650,Eloy ROOM,Curaçao,Ecuador,1,91,,,0,1,,,,,api.fifa.com
34,466370,Tyrick BODAK,Curaçao,Ecuador,0,0,,,,,,,,,api.fifa.com
34,466382,Trevor DOORNBUSCH,Curaçao,Ecuador,0,0,,,,,,,,,api.fifa.com
36,433365,Aymen DAHMEN,Tunisia,Japan,1,90,,,4,0,,,,,api.fifa.com
36,520245,Mouhib CHAMAKH,Tunisia,Japan,0,0,,,,,,,,,api.fifa.com
36,372294,Sabri BEN HESSEN,Tunisia,Japan,0,0,,,,,,,,,api.fifa.com
36,405530,Zion Suzuki,Japan,Tunisia,1,90,,,0,1,,,,,api.fifa.com
36,403305,Keisuke OSAKO,Japan,Tunisia,0,0,,,,,,,,,api.fifa.com
36,511710,Tomoki HAYAKAWA,Japan,Tunisia,0,0,,,,,,,,,api.fifa.com
39,430753,Unai SIMON,Spain,Saudi Arabia,1,90,,,0,1,,,,,api.fifa.com
39,447853,David RAYA,Spain,Saudi Arabia,0,0,,,,,,,,,api.fifa.com
39,484691,Joan GARCIA,Spain,Saudi Arabia,0,0,,,,,,,,,api.fifa.com
39,396885,MOHAMMED ALOWAIS,Saudi Arabia,Spain,1,90,,,4,0,,,,,api.fifa.com
39,419287,NAWAF ALAQIDI,Saudi Arabia,Spain,0,0,,,,,,,,,api.fifa.com
39,339746,AHMED ALKASSAR,Saudi Arabia,Spain,0,0,,,,,,,,,api.fifa.com
37,358106,Thibaut COURTOIS,Belgium,IR Iran,1,90,,,0,1,,,,,api.fifa.com
37,495348,Senne LAMMENS,Belgium,IR Iran,0,0,,,,,,,,,api.fifa.com
