event_id,match_id,minute,added_time,team,player_id,player_name,event_type,event_subtype,related_player_id,description,data_source
751,44,90,1,Jordan,499102,SALEEM OBAID,Substitution,substitution,489550,IN: SALEEM OBAID / OUT: HUSAM ABUDAHAB,api.fifa.com
752,44,,,Algeria,520071,Nadhir BENBOUALI,Substitution,substitution,441350,IN: Nadhir BENBOUALI / OUT: Hicham BOUDAOUI,api.fifa.com
753,44,,,Algeria,379939,Nabil Bentaleb,Substitution,substitution,433679,IN: Nabil Bentaleb / OUT: Ramiz ZERROUKI,api.fifa.com
754,44,76,,Algeria,482874,Anis HADJ MOUSSA,Substitution,substitution,379942,IN: Anis HADJ MOUSSA / OUT: Riyad Mahrez,api.fifa.com
755,44,85,,Algeria,480983,Zineddine BELAID,Substitution,substitution,405877,IN: Zineddine BELAID / OUT: Amine GOUIRI,api.fifa.com
756,44,85,,Algeria,482869,Jaouen HADJAM,Substitution,substitution,431858,IN: Jaouen HADJAM / OUT: Rayan AIT-NOURI,api.fifa.com
757,45,6,,Portugal,201200,CRISTIANO RONALDO,Goal,open_play,368649,,api.fifa.com
758,45,6,,Portugal,368649,JOAO CANCELO,Assist,assist,201200,assist attributed via sofascore.com,sofascore.com
759,45,17,,Portugal,433195,NUNO MENDES,Goal,open_play,,,api.fifa.com
760,45,39,,Portugal,201200,CRISTIANO RONALDO,Goal,open_play,395206,,api.fifa.com
761,45,39,,Portugal,395206,BRUNO FERNANDES,Assist,assist,201200,assist attributed via sofascore.com,sofascore.com
762,45,60,,Portugal,479110,Abduvohid NEMATOV,Own Goal,own_goal,,Own goal by opposing player (beneficiary shown),api.fifa.com
763,45,87,,Portugal,418550,RAFAEL LEAO,Goal,open_play,441149,,api.fifa.com
764,45,87,,Portugal,441149,VITINHA,Assist,assist,418550,assist attributed via sofascore.com,sofascore.com
765,45,68,,Portugal,489704,RENATO VEIGA,Yellow Card,,,,api.fifa.com
766,45,14,,Uzbekistan,371345,Odiljon XAMROBEKOV,Yellow Card,,,,api.fifa.com
767,45,,,Portugal,395212,NELSON SEMEDO,Substitution,substitution,368649,IN: NELSON SEMEDO / OUT: JOAO CANCELO,api.fifa.com
768,45,,,Portugal,485081,FRANCISCO CONCEICAO,Substitution,substitution,418548,IN: FRANCISCO CONCEICAO / OUT: PEDRO NETO,api.fifa.com
769,45,63,,Portugal,418561,FRANCISCO TRINCAO,Substitution,substitution,418535,IN: FRANCISCO TRINCAO / OUT: JOAO FELIX,api.fifa.com
770,45,76,,Portugal,395205,BERNARDO SILVA,Substitution,substitution,484141,IN: BERNARDO SILVA / OUT: JOAO NEVES,api.fifa.com
771,45,83,,Portugal,418550,RAFAEL LEAO,Substitution,substitution,441149,IN: RAFAEL LEAO / OUT: VITINHA,api.fifa.com
772,45,,,Uzbekistan,479079,Khojiakbar ALIJONOV,Substitution,substitution,479075,IN: Khojiakbar ALIJONOV / OUT: Sherzod NASRULLAEV,api.fifa.com
