player_id,player_name,team_id,position,position_group,anomaly_score,is_anomaly
241,Chemsdine Talbi,10,MID,MF,0.39892416462536223,False
657,Ahmed Ibrahim Trezeguet,26,FWD,FW,0.3979375622394612,False
230,MARTINELLIGabriel Gabriel,9,FWD,FW,0.3970842567780327,False
814,Federico Santiago Valverde,32,MID,MF,0.3968234668368201,False
632,Youri Marion Tielemans,25,MID,MF,0.3958482228258477,False
902,Hussein Ghadhban Aymen,35,FWD,FW,0.39552444301207523,False
38,Thapelo Maseko,2,FWD,FW,0.3932430411469344,False
866,Lamine Camara,34,MID,MF,0.3930338783551716,False
1181,Ante Budimir,46,FWD,FW,0.392150687891369,False
278,Wilson Isidor,11,FWD,FW,0.3917184256177608,False
1075,Kibambe Brian Cipenga,42,FWD,FW,0.39150848576650427,False
971,Amine Ferid Gouiri,38,FWD,FW,0.3912346567650285,False
994,Nicolas Seiwald,39,MID,MF,0.39057489052700683,False
1180,Luka Modric,46,MID,MF,0.3900916551622215,False
19,Gilberto Rafael Mora,1,MID,MF,0.3892126262139463,False
320,Mc,13,MID,MF,0.3892126262139463,False
1134,Jefferson Andrés Lerma,44,MID,MF,0.3892126262139463,False
240,Ayyoub Bouaddi,10,MID,MF,0.3892126262139463,False
744,Rodrigo Rodri,29,MID,MF,0.3892126262139463,False
838,Emmanuel Boris Kone,33,MID,MF,0.3892126262139463,False
918,Sander Gard Bolin Berge,36,MID,MF,0.3892126262139463,False
1161,Morgan Elliot Rogers,45,MID,MF,0.3891753191540244,False
852,Désiré Nonka-Maho Doue,33,FWD,FW,0.3889038379865019,False
71,Kangin Lee,3,MID,MF,0.3888612639657668,False
1022,Mahmoud Ali Noor Alrawabdeh,40,MID,MF,0.3888612639657668,False
608,Hannibal Mejbri,24,MID,MF,0.3888612639657668,False
514,Nilson David Angulo,20,FWD,FW,0.38867159865919965,False
1048,Miguel Bruno,41,MID,MF,0.38866766713909,False
242,Azz-Eddine Ounahi,10,MID,MF,0.3878738596972417,False
149,Kerim Alajbegovic,6,FWD,FW,0.38750707886251884,False
943,Rodrigo Javier De Paul,37,MID,MF,0.3874827268234889,False
671,Saber Abdelmohsen Mahmoud,26,MID,MF,0.38734080694537004,False
381,Nestory Irankunda,15,FWD,FW,0.38687110363250893,False
