match_id;player_id;player_name;team;opponent_team;starter;minutes_played;saves;shots_faced;goals_conceded_on_pitch;clean_sheet;penalty_saves;punches;data_source
49;12;Carlos ACEVEDO;Mexico;Czechia;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
49;13;Guillermo OCHOA;Mexico;Czechia;0;16;1;0;0;1;0;0;api.fifa.com+espn.com
58;443;Eloy ROOM;Curaçao;Côte d'Ivoire;1;90;1;0;2;0;0;0;api.fifa.com+espn.com
58;467;Tyrick BODAK;Curaçao;Côte d'Ivoire;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
58;468;Trevor DOORNBUSCH;Curaçao;Côte d'Ivoire;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
58;469;Yahia Fofana;Côte d'Ivoire;Curaçao;1;90;2;0;0;1;0;0;api.fifa.com+espn.com
58;484;Mohamed KONE;Côte d'Ivoire;Curaçao;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
58;491;Alban Lafont;Côte d'Ivoire;Curaçao;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
57;495;Hernan GALINDEZ;Ecuador;Germany;1;90;2;0;1;0;0;0;api.fifa.com+espn.com
57;506;Moises RAMIREZ;Ecuador;Germany;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
57;516;Gonzalo VALLE;Ecuador;Germany;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
57;417;Manuel NEUER;Germany;Ecuador;1;90;1;0;2;0;0;1;api.fifa.com+espn.com
57;428;Oliver Baumann;Germany;Ecuador;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
57;437;Alexander NUEBEL;Germany;Ecuador;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
59;614;Aymen DAHMEN;Tunisia;Netherlands;1;90;4;0;3;0;0;0;api.fifa.com+espn.com
59;599;Mouhib CHAMAKH;Tunisia;Netherlands;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
59;620;Sabri BEN HESSEN;Tunisia;Netherlands;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
59;521;Bart Verbruggen;Netherlands;Tunisia;1;90;3;0;1;0;0;0;api.fifa.com+espn.com
59;533;Robin ROEFS;Netherlands;Tunisia;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
59;543;Mark FLEKKEN;Netherlands;Tunisia;0;0;0;0;0;0;0;0;api.fifa.com+derived-known-zero
60;547;Zion Suzuki;Japan;Sweden;1;90;4;0;1;0;0;1;api.fifa.com+espn.com
