player_id,player_name,position,team,nationality,matches,minutes,total_goals,goals_p90,total_assists,assists_p90,total_shots,shots_p90,total_shots_on_target,shots_on_target_p90,total_passes,passes_p90,total_accurate_passes,accurate_passes_p90,total_crosses,crosses_p90,total_tackles,tackles_p90,total_interceptions,interceptions_p90,total_clearances,clearances_p90,total_blocks,blocks_p90,total_recoveries,recoveries_p90,total_duels_won,duels_won_p90,total_aerial_duels_won,aerial_duels_won_p90,total_dribbles_attempted,dribbles_attempted_p90,total_fouls_committed,fouls_committed_p90,total_fouls_won,fouls_won_p90,total_offsides,offsides_p90,pass_accuracy_pct,cluster,cluster_label,saves,shots_faced,conceded,clean_sheets,starts,save_pct,saves_p90
329,Malik Leon Tillman,MID,USA,USA,5,378,2.0,0.476,1.0,0.238,8.0,1.905,4.0,0.952,163.0,38.81,129.0,30.714,15.0,3.571,17.0,4.048,6.0,1.429,5.0,1.19,14.0,3.333,20.0,4.762,6.0,1.429,5.0,1.19,22.0,5.238,3.0,0.714,13.0,3.095,0.0,0.0,79.14,2,Playmaker / Chance Creator,,,,,,,
420,Jonathan Glao Tah,DEF,Germany,Germany,4,378,0.0,0.0,0.0,0.0,1.0,0.238,1.0,0.238,375.0,89.286,364.0,86.667,1.0,0.238,6.0,1.429,1.0,0.238,13.0,3.095,10.0,2.381,19.0,4.524,4.0,0.952,2.0,0.476,4.0,0.952,5.0,1.19,1.0,0.238,0.0,0.0,97.07,1,Ball Progressor,,,,,,,
1210,Gideon Mensah,DEF,Ghana,Ghana,4,378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,43.333,156.0,37.143,3.0,0.714,14.0,3.333,7.0,1.667,23.0,5.476,7.0,1.667,20.0,4.762,6.0,1.429,6.0,1.429,3.0,0.714,2.0,0.476,3.0,0.714,0.0,0.0,85.71,1,Ball Progressor,,,,,,,
1207,Antoine Serlom Semenyo,MID,Ghana,Ghana,4,378,0.0,0.0,0.0,0.0,6.0,1.429,0.0,0.0,68.0,16.19,52.0,12.381,5.0,1.19,11.0,2.619,0.0,0.0,0.0,0.0,3.0,0.714,9.0,2.143,7.0,1.667,7.0,1.667,18.0,4.286,6.0,1.429,4.0,0.952,4.0,0.952,76.47,0,Finisher / Goal Scorer,,,,,,,
661,Mohamed Zaky Mostafa Zico,MID,Egypt,Egypt,5,375,2.0,0.48,1.0,0.24,8.0,1.92,3.0,0.72,83.0,19.92,57.0,13.68,2.0,0.48,23.0,5.52,2.0,0.48,8.0,1.92,7.0,1.68,9.0,2.16,5.0,1.2,5.0,1.2,4.0,0.96,6.0,1.44,5.0,1.2,2.0,0.48,68.67,0,Finisher / Goal Scorer,,,,,,,
876,Ismaila Sarr,FWD,Senegal,Senegal,4,374,4.0,0.963,1.0,0.241,17.0,4.091,6.0,1.444,73.0,17.567,57.0,13.717,2.0,0.481,4.0,0.963,3.0,0.722,3.0,0.722,4.0,0.963,7.0,1.684,9.0,2.166,9.0,2.166,13.0,3.128,1.0,0.241,9.0,2.166,2.0,0.481,78.08,0,Finisher / Goal Scorer,,,,,,,
1172,Josip Stanisic,DEF,Croatia,Croatia,4,374,0.0,0.0,2.0,0.481,0.0,0.0,0.0,0.0,162.0,38.984,140.0,33.69,5.0,1.203,10.0,2.406,4.0,0.963,14.0,3.369,9.0,2.166,12.0,2.888,6.0,1.444,6.0,1.444,3.0,0.722,0.0,0.0,4.0,0.963,1.0,0.241,86.42,3,Box-to-Box / All-rounder,,,,,,,
1176,Josip Sutalo,DEF,Croatia,Croatia,4,374,0.0,0.0,0.0,0.0,1.0,0.241,0.0,0.0,267.0,64.251,241.0,57.995,0.0,0.0,5.0,1.203,7.0,1.684,19.0,4.572,8.0,1.925,17.0,4.091,8.0,1.925,8.0,1.925,7.0,1.684,2.0,0.481,1.0,0.241,0.0,0.0,90.26,1,Ball Progressor,,,,,,,
1184,Ivan Perisic,FWD,Croatia,Croatia,4,374,1.0,0.241,0.0,0.0,2.0,0.481,2.0,0.481,150.0,36.096,132.0,31.765,19.0,4.572,11.0,2.647,1.0,0.241,14.0,3.369,12.0,2.888,12.0,2.888,8.0,1.925,8.0,1.925,5.0,1.203,4.0,0.963,1.0,0.241,0.0,0.0,88.0,3,Box-to-Box / All-rounder,,,,,,,
868,Sadio Mane,FWD,Senegal,Senegal,4,372,0.0,0.0,1.0,0.242,6.0,1.452,3.0,0.726,129.0,31.21,106.0,25.645,22.0,5.323,9.0,2.177,2.0,0.484,1.0,0.242,7.0,1.694,11.0,2.661,4.0,0.968,4.0,0.968,30.0,7.258,4.0,0.968,10.0,2.419,3.0,0.726,82.17,2,Playmaker / Chance Creator,,,,,,,
