player_id,player_name,position,team,nationality,matches,minutes,total_goals,goals_p90,total_assists,assists_p90,total_shots,shots_p90,total_shots_on_target,shots_on_target_p90,total_passes,passes_p90,total_accurate_passes,accurate_passes_p90,total_crosses,crosses_p90,total_tackles,tackles_p90,total_interceptions,interceptions_p90,total_clearances,clearances_p90,total_blocks,blocks_p90,total_recoveries,recoveries_p90,total_duels_won,duels_won_p90,total_aerial_duels_won,aerial_duels_won_p90,total_dribbles_attempted,dribbles_attempted_p90,total_fouls_committed,fouls_committed_p90,total_fouls_won,fouls_won_p90,total_offsides,offsides_p90,pass_accuracy_pct,PC1,PC2,PC3,PC4
398,Arda Guler,FWD,Türkiye,Türkiye,3,279,1,0.323,0,0.0,12,3.871,4,1.29,198,63.871,170,54.839,14,4.516,11,3.548,0,0.0,1,0.323,4,1.29,4,1.29,3,0.968,3,0.968,20,6.452,3,0.968,10,3.226,2,0.645,85.86,-3.444389667492134,2.4518912689210195,-2.234483968197825,-1.4888739052243172
498,Joel Leandro Ordonez,DEF,Ecuador,Ecuador,3,279,0,0.0,0,0.0,2,0.645,0,0.0,113,36.452,101,32.581,0,0.0,10,3.226,1,0.323,19,6.129,5,1.613,12,3.871,6,1.935,6,1.935,2,0.645,1,0.323,1,0.323,0,0.0,89.38,1.5339145919052086,-0.4717182229551652,1.286964965914645,0.04123187398286633
829,Nestor Fernando Muslera,GK,Uruguay,Uruguay,3,279,0,0.0,0,0.0,0,0.0,0,0.0,71,22.903,57,18.387,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12,3.871,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,80.28,-0.2559483645535864,-3.70305213012614,1.0157539681036332,-0.5002856360472128
809,Sebastián Enzo Caceres,DEF,Uruguay,Uruguay,3,279,0,0.0,0,0.0,3,0.968,0,0.0,172,55.484,154,49.677,1,0.323,6,1.935,2,0.645,15,4.839,7,2.258,20,6.452,11,3.548,10,3.226,6,1.935,2,0.645,2,0.645,0,0.0,89.53,2.424566992650814,1.1719129618877495,1.311658908714132,-0.8834970210613153
819,Guillermo Varela,DEF,Uruguay,Uruguay,3,279,0,0.0,0,0.0,2,0.645,0,0.0,134,43.226,119,38.387,10,3.226,4,1.29,2,0.645,14,4.516,8,2.581,18,5.806,10,3.226,10,3.226,2,0.645,1,0.323,1,0.323,0,0.0,88.81,1.9273819321564305,0.586753591986892,1.366878542450522,-0.5168860711922205
822,Mathías Olivera,DEF,Uruguay,Uruguay,3,279,0,0.0,0,0.0,1,0.323,0,0.0,226,72.903,213,68.71,3,0.968,12,3.871,2,0.645,8,2.581,8,2.581,22,7.097,10,3.226,9,2.903,15,4.839,3,0.968,0,0.0,0,0.0,94.25,2.907266979252865,1.5028771640481193,-0.19768969165069222,-0.9477773583244564
812,Rodrigo Bentancur,MID,Uruguay,Uruguay,3,279,0,0.0,0,0.0,4,1.29,0,0.0,174,56.129,157,50.645,3,0.968,13,4.194,9,2.903,14,4.516,11,3.548,19,6.129,6,1.935,6,1.935,9,2.903,7,2.258,5,1.613,0,0.0,90.23,2.6717212821107377,2.5646471416583596,-1.2468111881270265,0.8050304308636577
1236,Carlos Miguel Harvey,DEF,Panama,Panama,3,279,0,0.0,0,0.0,5,1.613,0,0.0,107,34.516,85,27.419,1,0.323,14,4.516,5,1.613,7,2.258,6,1.935,16,5.161,7,2.258,7,2.258,8,2.581,8,2.581,3,0.968,0,0.0,79.44,0.9495932280182826,1.4549754429467956,0.3327528076354916,1.527146412998531
1201,Thomas Teye Partey,MID,Ghana,Ghana,3,279,0,0.0,0,0.0,2,0.645,0,0.0,152,49.032,134,43.226,0,0.0,10,3.226,2,0.645,6,1.935,6,1.935,10,3.226,2,0.645,2,0.645,10,3.226,2,0.645,5,1.613,0,0.0,88.16,0.6081966632776468,-0.6253311733045306,-0.9083211870774873,0.03578946372763879
261,Johny Placide,GK,Haiti,Haiti,3,278,0,0.0,0,0.0,0,0.0,0,0.0,105,33.993,67,21.691,0,0.0,0,0.0,1,0.324,0,0.0,0,0.0,15,4.856,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,63.81,0.26373300019512114,-3.4430662802531606,0.6962686630745156,-0.856443182600223
264,Ricardo Ade,DEF,Haiti,Haiti,3,278,0,0.0,0,0.0,4,1.295,1,0.324,136,44.029,121,39.173,0,0.0,7,2.266,3,0.971,19,6.151,7,2.266,13,4.209,6,1.942,6,1.942,3,0.971,6,1.942,4,1.295,0,0.0,88.97,1.3741166839360899,1.0932277069207577,0.6385847740982165,0.2857395304782383
265,Hannes Piterson Delcroix,DEF,Haiti,Haiti,3,278,0,0.0,0,0.0,0,0.0,0,0.0,151,48.885,146,47.266,1,0.324,7,2.266,5,1.619,19,6.151,10,3.237,20,6.475,7,2.266,5,1.619,1,0.324,1,0.324,2,0.647,0,0.0,96.69,3.1814339500627713,0.35134075358169137,0.3862207762161403,-0.34647940210414263
