player_id,player_name,team,position,age,current_value,predicted_post_value,change_abs,change_pct
23,Jesús Daniel Gallardo,Mexico,DEF,32.0,24033269.0,24224035.0,190766.0,0.8
975,Jaouen Djimmy Hadjam,Algeria,DEF,23.0,7000000.0,7053539.0,53539.0,0.8
19,Gilberto Rafael Mora,Mexico,MID,18.0,19301116.0,19455801.0,154685.0,0.8
1165,Eberechi Oluchi Eze,England,MID,28.0,65000000.0,65522377.0,522377.0,0.8
112,Ismaël Kenneth Jordan Kone,Canada,MID,24.0,25000000.0,25208366.0,208366.0,0.8
514,Nilson David Angulo,Ecuador,FWD,23.0,8661312.0,8731757.0,70445.0,0.8
535,Micky Van De Ven,Netherlands,DEF,25.0,50000000.0,50397291.0,397291.0,0.8
938,Marcos Nicolás Senesi,Argentina,DEF,29.0,140833138.0,141847149.0,1014011.0,0.7
1074,Samuel Alain Moutoussamy,Congo DR,MID,30.0,1200000.0,1208760.0,8760.0,0.7
914,Leo Skiri Ostigard,Norway,DEF,27.0,2823601.0,2842255.0,18654.0,0.7
1051,João Joao Felix,Portugal,FWD,27.0,17430671.0,17556978.0,126307.0,0.7
878,Ibrahim Mbaye,Senegal,FWD,18.0,30000000.0,30205651.0,205651.0,0.7
1219,Derrick Luckassen,Ghana,DEF,31.0,1200000.0,1208633.0,8633.0,0.7
992,Xaver Schlager,Austria,MID,29.0,10000000.0,10069666.0,69666.0,0.7
710,Marko Seufatu Nikola Stamenic,New Zealand,MID,24.0,3000000.0,3021759.0,21759.0,0.7
46,Khuliso Johnson Mudau,South Africa,DEF,31.0,1200000.0,1208273.0,8273.0,0.7
1245,Michael Amir Murillo,Panama,DEF,30.0,7830169.0,7885499.0,55330.0,0.7
907,Ghazi Salih Merchas,Iraq,DEF,27.0,6178241.0,6213157.0,34916.0,0.6
1106,Eldor Shomurodov,Uzbekistan,FWD,31.0,7000000.0,7045016.0,45016.0,0.6
119,Moïse Bombito Bombito,Canada,DEF,26.0,11608716.0,11679453.0,70737.0,0.6
243,Soufiane Rahimi,Morocco,FWD,30.0,6000000.0,6035091.0,35091.0,0.6
475,Odilon Dorgeless Kossounou,Côte d'Ivoire,DEF,25.0,10688600.0,10751879.0,63279.0,0.6
336,Matthew Andrew Geary Freese,USA,GK,28.0,2000000.0,2012827.0,12827.0,0.6
547,Zion Suzuki,Japan,GK,24.0,20000000.0,20110639.0,110639.0,0.6
760,Lenini Kevin Pina,Cabo Verde,MID,29.0,2359912.0,2374762.0,14850.0,0.6
495,Hernán Ismael Galindez,Ecuador,GK,39.0,300000.0,301859.0,1859.0,0.6
129,Nathan-Dylan Saliba,Canada,MID,22.0,7500000.0,7542245.0,42245.0,0.6
567,Hiroki Ito,Japan,DEF,27.0,18000000.0,18093581.0,93581.0,0.5
1207,Antoine Serlom Semenyo,Ghana,MID,26.0,80000000.0,80435974.0,435974.0,0.5
950,Exequiel Alejandro Palacios,Argentina,MID,28.0,25000000.0,25122743.0,122743.0,0.5
287,Angus Fraser James Gunn,Scotland,GK,30.0,1000000.0,1005042.0,5042.0,0.5
349,Mauricio Mauricio,Paraguay,MID,25.0,4506196.0,4527313.0,21117.0,0.5
167,Hassan Akram,Qatar,FWD,30.0,3305021.0,3320979.0,15958.0,0.5
926,Marcus Holmgren Holmgren Pedersen,Norway,DEF,26.0,7064063.0,7101934.0,37871.0,0.5
474,Seko Mohamed Fofana,Côte d'Ivoire,MID,31.0,8000000.0,8033195.0,33195.0,0.4
858,Maxence Guy Lacroix,France,DEF,26.0,50000000.0,50221065.0,221065.0,0.4
1170,Jarell Amorin Quansah,England,DEF,23.0,45000000.0,45161327.0,161327.0,0.4
856,Mathis Rayan Cherki,France,MID,23.0,90000000.0,90323699.0,323699.0,0.4
812,Rodrigo Bentancur,Uruguay,MID,29.0,6218107.0,6241437.0,23330.0,0.4
1238,Andres Alberto Andrade,Panama,DEF,28.0,3229804.0,3241568.0,11764.0,0.4
383,Harry James Souttar,Australia,DEF,28.0,6000000.0,6026654.0,26654.0,0.4
1201,Thomas Teye Partey,Ghana,MID,33.0,2000000.0,2008711.0,8711.0,0.4
381,Nestory Irankunda,Australia,FWD,20.0,8000000.0,8035518.0,35518.0,0.4
486,Ibrahim Sangare,Côte d'Ivoire,MID,29.0,20000000.0,20086457.0,86457.0,0.4
505,Kevin Jose Rodriguez,Ecuador,FWD,26.0,6049189.0,6072534.0,23345.0,0.4
1149,John Stones,England,DEF,32.0,12000000.0,12052492.0,52492.0,0.4
