match_id,match_team_id,metric,source_page,team,team_id,value
2026-M028-MEX-KOR,2026-M028-MEX-KOR_KOR,from_hands,33,Korea Republic,KOR,0
2026-M028-MEX-KOR,2026-M028-MEX-KOR_KOR,under_arm,33,Korea Republic,KOR,6
2026-M029-BRA-HAI,2026-M029-BRA-HAI_BRA,goalkeeper_line_breaks,32,Brazil,BRA,8
2026-M029-BRA-HAI,2026-M029-BRA-HAI_BRA,total_distributions,32,Brazil,BRA,29
2026-M029-BRA-HAI,2026-M029-BRA-HAI_BRA,from_hands,32,Brazil,BRA,0
2026-M029-BRA-HAI,2026-M029-BRA-HAI_BRA,under_arm,32,Brazil,BRA,5
2026-M029-BRA-HAI,2026-M029-BRA-HAI_HAI,goalkeeper_line_breaks,33,Haiti,HAI,20
2026-M029-BRA-HAI,2026-M029-BRA-HAI_HAI,total_distributions,33,Haiti,HAI,31
2026-M029-BRA-HAI,2026-M029-BRA-HAI_HAI,from_hands,33,Haiti,HAI,1
2026-M029-BRA-HAI,2026-M029-BRA-HAI_HAI,under_arm,33,Haiti,HAI,2
2026-M030-SCO-MAR,2026-M030-SCO-MAR_SCO,goalkeeper_line_breaks,32,Scotland,SCO,7
2026-M030-SCO-MAR,2026-M030-SCO-MAR_SCO,total_distributions,32,Scotland,SCO,28
2026-M030-SCO-MAR,2026-M030-SCO-MAR_SCO,from_hands,32,Scotland,SCO,0
2026-M030-SCO-MAR,2026-M030-SCO-MAR_SCO,under_arm,32,Scotland,SCO,7
2026-M030-SCO-MAR,2026-M030-SCO-MAR_MAR,goalkeeper_line_breaks,33,Morocco,MAR,11
2026-M030-SCO-MAR,2026-M030-SCO-MAR_MAR,total_distributions,33,Morocco,MAR,32
2026-M030-SCO-MAR,2026-M030-SCO-MAR_MAR,from_hands,33,Morocco,MAR,5
2026-M030-SCO-MAR,2026-M030-SCO-MAR_MAR,under_arm,33,Morocco,MAR,2
2026-M031-TUR-PAR,2026-M031-TUR-PAR_TUR,goalkeeper_line_breaks,33,Türkiye,TUR,7
2026-M031-TUR-PAR,2026-M031-TUR-PAR_TUR,total_distributions,33,Türkiye,TUR,30
2026-M031-TUR-PAR,2026-M031-TUR-PAR_TUR,from_hands,33,Türkiye,TUR,0
2026-M031-TUR-PAR,2026-M031-TUR-PAR_TUR,under_arm,33,Türkiye,TUR,1
2026-M031-TUR-PAR,2026-M031-TUR-PAR_PAR,goalkeeper_line_breaks,34,Paraguay,PAR,27
2026-M031-TUR-PAR,2026-M031-TUR-PAR_PAR,total_distributions,34,Paraguay,PAR,29
2026-M031-TUR-PAR,2026-M031-TUR-PAR_PAR,from_hands,34,Paraguay,PAR,6
2026-M031-TUR-PAR,2026-M031-TUR-PAR_PAR,under_arm,34,Paraguay,PAR,0
2026-M032-USA-AUS,2026-M032-USA-AUS_USA,goalkeeper_line_breaks,32,USA,USA,14
2026-M032-USA-AUS,2026-M032-USA-AUS_USA,total_distributions,32,USA,USA,24
2026-M032-USA-AUS,2026-M032-USA-AUS_USA,from_hands,32,USA,USA,1
2026-M032-USA-AUS,2026-M032-USA-AUS_USA,under_arm,32,USA,USA,3
