appearance_id,attempts_at_goal,ball_progressions,crosses_attempted,crosses_completed,goals,line_break_completion_pct,line_breaks_attempted,line_breaks_completed,match_id,match_team_id,pass_completion_pct,passes_attempted,passes_completed,player_id,player_name,shirt_number,source_page,step_ins,switches_of_play,take_ons,team,team_id
2026-M003-CAN-BIH_CAN_07,1,1,9,4,0,69%,13,9,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,86%,49,42,CAN_stephen_eustaquio,Stephen EUSTAQUIO,7,42,0,1,1,Canada,CAN
2026-M003-CAN-BIH_CAN_08,1,3,1,0,0,65%,23,15,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,84%,58,49,CAN_ismael_kone,Ismael KONE,8,42,1,0,4,Canada,CAN
2026-M003-CAN-BIH_CAN_10,3,0,3,0,0,0%,1,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,80%,10,8,CAN_jonathan_david,Jonathan DAVID,10,42,0,0,0,Canada,CAN
2026-M003-CAN-BIH_CAN_11,0,4,4,0,0,50%,14,7,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,66%,29,19,CAN_liam_millar,Liam MILLAR,11,42,1,0,5,Canada,CAN
2026-M003-CAN-BIH_CAN_12,2,2,2,0,0,33%,6,2,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,46%,13,6,CAN_tani_oluwaseyi,Tani OLUWASEYI,12,42,1,1,3,Canada,CAN
2026-M003-CAN-BIH_CAN_13,1,0,1,0,0,47%,15,7,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,81%,52,42,CAN_derek_cornelius,Derek CORNELIUS,13,42,0,0,0,Canada,CAN
2026-M003-CAN-BIH_CAN_17,0,5,3,0,0,67%,3,2,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,80%,10,8,CAN_tajon_buchanan,Tajon BUCHANAN,17,42,1,0,6,Canada,CAN
2026-M003-CAN-BIH_CAN_22,1,1,0,0,0,81%,16,13,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,76%,45,34,CAN_richie_laryea,Richie LARYEA,22,42,0,0,1,Canada,CAN
2026-M003-CAN-BIH_CAN_09,2,0,0,0,1,0%,0,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,0%,0,0,CAN_cyle_larin,Cyle LARIN,9,42,1,0,1,Canada,CAN
2026-M003-CAN-BIH_CAN_14,0,1,1,1,0,50%,4,2,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,71%,7,5,CAN_jacob_shaffelburg,Jacob SHAFFELBURG,14,42,0,0,1,Canada,CAN
2026-M003-CAN-BIH_CAN_20,0,3,3,0,0,33%,6,2,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,69%,16,11,CAN_ali_ahmed,Ali AHMED,20,42,1,0,4,Canada,CAN
2026-M003-CAN-BIH_CAN_21,0,0,0,0,0,100%,2,2,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,75%,4,3,CAN_jonathan_osorio,Jonathan OSORIO,21,42,1,0,1,Canada,CAN
2026-M003-CAN-BIH_CAN_24,1,0,0,0,0,100%,1,1,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,33%,3,1,CAN_promise_david,Promise DAVID,24,42,0,0,0,Canada,CAN
2026-M003-CAN-BIH_BIH_01,0,0,0,0,0,24%,21,5,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,42%,33,14,BIH_nikola_vasilj,Nikola VASILJ,1,44,0,0,0,Bosnia and Herzegovina,BIH
2026-M003-CAN-BIH_BIH_04,1,1,0,0,0,67%,9,6,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,80%,30,24,BIH_tarik_muharemovic,Tarik MUHAREMOVIC,4,44,0,1,1,Bosnia and Herzegovina,BIH
2026-M003-CAN-BIH_BIH_05,0,1,0,0,0,83%,12,10,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,66%,32,21,BIH_sead_kolasinac,Sead KOLASINAC,5,44,0,0,1,Bosnia and Herzegovina,BIH
2026-M003-CAN-BIH_BIH_06,1,0,2,0,0,38%,8,3,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,73%,22,16,BIH_benjamin_tahirovic,Benjamin TAHIROVIC,6,44,0,0,0,Bosnia and Herzegovina,BIH
2026-M003-CAN-BIH_BIH_07,0,1,0,0,0,71%,14,10,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,74%,31,23,BIH_amar_dedic,Amar DEDIC,7,44,1,0,2,Bosnia and Herzegovina,BIH
2026-M003-CAN-BIH_BIH_10,1,2,0,0,0,67%,3,2,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,77%,13,10,BIH_ermedin_demirovic,Ermedin DEMIROVIC,10,44,0,0,2,Bosnia and Herzegovina,BIH
2026-M003-CAN-BIH_BIH_13,0,1,5,5,0,83%,12,10,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,82%,22,18,BIH_ivan_basic,Ivan BASIC,13,44,0,0,1,Bosnia and Herzegovina,BIH
2026-M003-CAN-BIH_BIH_15,1,2,0,0,0,0%,3,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,38%,8,3,BIH_amar_memic,Amar MEMIC,15,44,1,0,3,Bosnia and Herzegovina,BIH
2026-M003-CAN-BIH_BIH_18,0,0,0,0,0,56%,9,5,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,68%,22,15,BIH_nikola_katic,Nikola KATIC,18,44,0,0,0,Bosnia and Herzegovina,BIH
2026-M003-CAN-BIH_BIH_20,0,5,0,0,0,0%,4,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,43%,14,6,BIH_esmir_bajraktarevic,Esmir BAJRAKTAREVIC,20,44,0,0,5,Bosnia and Herzegovina,BIH
2026-M003-CAN-BIH_BIH_25,3,1,0,0,1,0%,2,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,45%,11,5,BIH_jovo_lukic,Jovo LUKIC,25,44,0,0,1,Bosnia and Herzegovina,BIH
2026-M003-CAN-BIH_BIH_08,0,1,0,0,0,67%,6,4,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,81%,16,13,BIH_armin_gigovic,Armin GIGOVIC,8,44,0,1,1,Bosnia and Herzegovina,BIH
2026-M003-CAN-BIH_BIH_09,0,3,0,0,0,0%,3,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,40%,5,2,BIH_samed_bazdar,Samed BAZDAR,9,44,0,0,3,Bosnia and Herzegovina,BIH
2026-M003-CAN-BIH_BIH_14,0,0,0,0,0,60%,5,3,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,77%,13,10,BIH_ivan_sunjic,Ivan SUNJIC,14,44,1,0,1,Bosnia and Herzegovina,BIH
2026-M003-CAN-BIH_BIH_17,1,0,0,0,0,67%,3,2,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,67%,3,2,BIH_dzenis_burnic,Dzenis BURNIC,17,44,0,0,0,Bosnia and Herzegovina,BIH
2026-M003-CAN-BIH_BIH_19,0,1,1,0,0,100%,1,1,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,100%,4,4,BIH_kerim_alajbegovic,Kerim ALAJBEGOVIC,19,44,0,0,1,Bosnia and Herzegovina,BIH
2026-M004-USA-PAR_USA_24,0,0,0,0,0,22%,9,2,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,65%,23,15,USA_matt_freese,Matt FREESE,24,42,0,0,0,USA,USA
2026-M004-USA-PAR_USA_02,0,9,6,1,0,78%,9,7,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,90%,30,27,USA_sergino_dest,Sergino DEST,2,42,0,0,9,USA,USA
2026-M004-USA-PAR_USA_03,1,0,0,0,0,100%,8,8,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,100%,80,80,USA_chris_richards,Chris RICHARDS,3,42,1,0,1,USA,USA
2026-M004-USA-PAR_USA_04,0,0,0,0,0,85%,20,17,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,88%,58,51,USA_tyler_adams,Tyler ADAMS,4,42,0,0,0,USA,USA
2026-M004-USA-PAR_USA_05,0,7,7,2,0,63%,19,12,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,77%,66,51,USA_antonee_robinson,Antonee ROBINSON,5,42,1,0,8,USA,USA
2026-M004-USA-PAR_USA_08,0,3,4,0,0,90%,10,9,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,80%,50,40,USA_weston_mckennie,Weston McKENNIE,8,42,1,0,4,USA,USA
2026-M004-USA-PAR_USA_10,0,7,2,1,0,50%,6,3,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,86%,22,19,USA_christian_pulisic,Christian PULISIC,10,42,3,0,10,USA,USA
2026-M004-USA-PAR_USA_13,0,1,0,0,0,88%,33,29,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,94%,88,83,USA_tim_ream,Tim REAM,13,42,3,2,4,USA,USA
2026-M004-USA-PAR_USA_16,0,6,1,0,0,85%,27,23,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,87%,79,69,USA_alex_freeman,Alex FREEMAN,16,42,4,1,10,USA,USA
2026-M004-USA-PAR_USA_17,5,1,1,1,0,73%,15,11,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,79%,39,31,USA_malik_tillman,Malik TILLMAN,17,42,2,0,3,USA,USA
2026-M004-USA-PAR_USA_20,5,2,1,0,2,0%,2,0,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,67%,15,10,USA_folarin_balogun,Folarin BALOGUN,20,42,0,0,2,USA,USA
2026-M004-USA-PAR_USA_07,1,0,0,0,1,0%,0,0,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,100%,9,9,USA_giovanni_reyna,Giovanni REYNA,7,42,1,1,1,USA,USA
2026-M004-USA-PAR_USA_09,1,0,1,0,0,0%,0,0,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,100%,2,2,USA_ricardo_pepi,Ricardo PEPI,9,42,0,0,0,USA,USA
2026-M004-USA-PAR_USA_14,1,0,0,0,0,64%,11,7,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,74%,27,20,USA_sebastian_berhalter,Sebastian BERHALTER,14,42,0,0,0,USA,USA
2026-M004-USA-PAR_USA_21,2,0,0,0,0,100%,1,1,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,93%,14,13,USA_timothy_weah,Timothy WEAH,21,42,0,0,0,USA,USA
2026-M004-USA-PAR_PAR_12,0,0,0,0,0,40%,15,6,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,63%,30,19,PAR_orlando_gill,Orlando GILL,12,44,0,1,0,Paraguay,PAR
2026-M004-USA-PAR_PAR_03,0,1,0,0,0,62%,16,10,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,69%,29,20,PAR_omar_alderete,Omar ALDERETE,3,44,0,1,1,Paraguay,PAR
2026-M004-USA-PAR_PAR_04,0,2,3,0,0,38%,16,6,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,61%,33,20,PAR_juan_jose_caceres,Juan Jose CACERES,4,44,0,1,2,Paraguay,PAR
