appearance_id,blocks,clearances,duels_won_aerial,duels_won_physical,interceptions,loose_ball_receptions,match_id,match_team_id,player_id,player_name,possession_contests_won,possession_interrupted,possession_regains,pressing_direct,pressing_indirect,pushing_on,pushing_on_into_pressing,shirt_number,tackles_made_won,team,team_id,topic
2026-M002-KOR-CZE_CZE_15,2,1,0,0,0,3,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,CZE_pavel_sulc,Pavel SULC,0,2,3,7,39,25,17,15,4 / 2,Czechia,CZE,out_of_possession
2026-M002-KOR-CZE_CZE_17,1,2,1,0,0,3,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,CZE_lukas_provod,Lukas PROVOD,1,2,2,3,24,17,8,17,3 / 1,Czechia,CZE,out_of_possession
2026-M002-KOR-CZE_CZE_20,2,4,1,0,2,5,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,CZE_jaroslav_zeleny,Jaroslav ZELENY,1,2,4,1,20,34,8,20,1 / 0,Czechia,CZE,out_of_possession
2026-M002-KOR-CZE_CZE_22,1,4,3,0,0,5,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,CZE_tomas_soucek,Tomas SOUCEK,3,2,1,1,22,30,9,22,2 / 0,Czechia,CZE,out_of_possession
2026-M002-KOR-CZE_CZE_24,4,1,0,0,0,10,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,CZE_alexandr_sojka,Alexandr SOJKA,0,1,3,7,44,41,24,24,4 / 0,Czechia,CZE,out_of_possession
2026-M002-KOR-CZE_CZE_09,0,0,1,0,0,1,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,CZE_adam_hlozek,Adam HLOZEK,1,0,1,3,16,12,7,9,1 / 1,Czechia,CZE,out_of_possession
2026-M002-KOR-CZE_CZE_13,0,0,0,0,0,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,CZE_mojmir_chytil,Mojmir CHYTIL,0,0,0,1,3,2,2,13,0 / 0,Czechia,CZE,out_of_possession
2026-M002-KOR-CZE_CZE_18,0,0,0,0,1,4,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,CZE_michal_sadilek,Michal SADILEK,0,0,1,1,13,16,10,18,2 / 0,Czechia,CZE,out_of_possession
2026-M002-KOR-CZE_CZE_19,0,0,5,0,0,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,CZE_tomas_chory,Tomas CHORY,5,0,1,0,10,14,6,19,0 / 0,Czechia,CZE,out_of_possession
2026-M003-CAN-BIH_CAN_16,0,0,0,0,0,8,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_maxime_crepeau,Maxime CREPEAU,0,0,3,0,0,0,0,16,0 / 0,Canada,CAN,out_of_possession
2026-M003-CAN-BIH_CAN_02,2,6,5,0,0,7,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_alistair_johnston,Alistair JOHNSTON,5,3,5,2,7,17,2,2,3 / 0,Canada,CAN,out_of_possession
2026-M003-CAN-BIH_CAN_04,0,10,4,1,0,4,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_luc_de_fougerolles,Luc DE FOUGEROLLES,5,4,13,3,4,14,3,4,3 / 2,Canada,CAN,out_of_possession
2026-M003-CAN-BIH_CAN_07,1,1,1,0,2,10,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_stephen_eustaquio,Stephen EUSTAQUIO,1,3,3,2,18,10,4,7,2 / 0,Canada,CAN,out_of_possession
2026-M003-CAN-BIH_CAN_08,1,1,1,0,0,10,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_ismael_kone,Ismael KONE,1,2,3,4,16,12,4,8,7 / 0,Canada,CAN,out_of_possession
2026-M003-CAN-BIH_CAN_10,0,0,0,0,1,5,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_jonathan_david,Jonathan DAVID,0,0,1,4,9,13,6,10,2 / 0,Canada,CAN,out_of_possession
2026-M003-CAN-BIH_CAN_11,3,0,2,0,0,5,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_liam_millar,Liam MILLAR,2,1,3,6,5,8,4,11,6 / 0,Canada,CAN,out_of_possession
2026-M003-CAN-BIH_CAN_12,0,0,6,1,2,3,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_tani_oluwaseyi,Tani OLUWASEYI,8,0,4,2,18,20,11,12,1 / 0,Canada,CAN,out_of_possession
2026-M003-CAN-BIH_CAN_13,4,13,8,0,2,8,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_derek_cornelius,Derek CORNELIUS,8,10,17,1,4,4,2,13,4 / 3,Canada,CAN,out_of_possession
2026-M003-CAN-BIH_CAN_17,0,0,0,0,0,1,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_tajon_buchanan,Tajon BUCHANAN,0,1,1,3,7,13,6,17,2 / 0,Canada,CAN,out_of_possession
2026-M003-CAN-BIH_CAN_22,1,3,1,1,0,9,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_richie_laryea,Richie LARYEA,2,3,7,6,12,7,6,22,6 / 2,Canada,CAN,out_of_possession
2026-M003-CAN-BIH_CAN_09,0,1,1,0,0,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_cyle_larin,Cyle LARIN,1,0,0,0,2,1,1,9,0 / 0,Canada,CAN,out_of_possession
2026-M003-CAN-BIH_CAN_14,0,0,0,0,0,1,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_jacob_shaffelburg,Jacob SHAFFELBURG,0,0,1,2,2,3,2,14,1 / 1,Canada,CAN,out_of_possession
2026-M003-CAN-BIH_CAN_20,3,0,0,0,0,2,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_ali_ahmed,Ali AHMED,0,2,1,2,15,13,11,20,2 / 1,Canada,CAN,out_of_possession
2026-M003-CAN-BIH_CAN_21,0,1,0,0,0,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_jonathan_osorio,Jonathan OSORIO,0,1,0,1,0,0,0,21,1 / 0,Canada,CAN,out_of_possession
2026-M003-CAN-BIH_CAN_24,0,1,1,0,0,3,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_promise_david,Promise DAVID,1,1,2,0,3,3,3,24,1 / 1,Canada,CAN,out_of_possession
2026-M003-CAN-BIH_BIH_01,0,0,0,0,0,3,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_nikola_vasilj,Nikola VASILJ,0,0,9,0,0,0,0,1,0 / 0,Bosnia and Herzegovina,BIH,out_of_possession
2026-M003-CAN-BIH_BIH_04,5,14,7,0,1,5,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_tarik_muharemovic,Tarik MUHAREMOVIC,8,11,10,2,4,7,3,4,1 / 1,Bosnia and Herzegovina,BIH,out_of_possession
2026-M003-CAN-BIH_BIH_05,5,6,2,0,1,6,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_sead_kolasinac,Sead KOLASINAC,2,4,7,6,7,14,3,5,6 / 2,Bosnia and Herzegovina,BIH,out_of_possession
2026-M003-CAN-BIH_BIH_06,2,6,0,0,0,10,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,BIH_benjamin_tahirovic,Benjamin TAHIROVIC,1,6,2,1,27,20,7,6,4 / 0,Bosnia and Herzegovina,BIH,out_of_possession
