appearance_id,high_speed_runs_zone3,match_id,match_team_id,player_id,player_name,shirt_number,source_page,sprints_zone4_5,team,team_id,top_speed_kmh,total_distance_m,zone1_0_7_kmh_m,zone2_7_15_kmh_m,zone3_15_20_kmh_m,zone4_20_25_kmh_m,zone5_25_plus_kmh_m
2026-M002-KOR-CZE_KOR_24,28.0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_kim_jingyu,KIM Jingyu,24,50,8.0,Korea Republic,KOR,29.6,1890.4,513.7,812.6,428.1,106.4,29.7
2026-M002-KOR-CZE_KOR_25,40.0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_eom_jisung,EOM Jisung,25,50,13.0,Korea Republic,KOR,30.6,3180.4,1143.0,1216.0,508.6,178.4,134.3
2026-M002-KOR-CZE_CZE_01,12.0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,CZE_matej_kovar,Matej KOVAR,1,51,1.0,Czechia,CZE,22.3,5039.3,3765.0,1160.1,99.0,15.3,0.0
2026-M002-KOR-CZE_CZE_04,107.0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,CZE_robin_hranac,Robin HRANAC,4,51,41.0,Czechia,CZE,29.3,9570.0,3919.4,3947.6,1120.3,475.3,107.3
2026-M002-KOR-CZE_CZE_05,145.0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,CZE_vladimir_coufal,Vladimir COUFAL,5,51,48.0,Czechia,CZE,30.6,11390.8,3854.4,4950.5,1740.5,635.7,209.7
2026-M002-KOR-CZE_CZE_06,141.0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,CZE_stepan_chaloupek,Stepan CHALOUPEK,6,51,46.0,Czechia,CZE,34.0,10873.7,4076.3,4497.6,1553.7,536.0,210.1
2026-M002-KOR-CZE_CZE_07,136.0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,CZE_ladislav_krejci,Ladislav KREJCI,7,51,27.0,Czechia,CZE,26.5,10877.7,3953.9,4861.5,1665.8,366.1,30.4
2026-M002-KOR-CZE_CZE_10,90.0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,CZE_patrik_schick,Patrik SCHICK,10,51,28.0,Czechia,CZE,28.9,8047.6,2319.8,4219.3,1066.3,377.3,64.8
2026-M002-KOR-CZE_CZE_15,120.0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,CZE_pavel_sulc,Pavel SULC,15,51,31.0,Czechia,CZE,31.2,7868.4,2664.4,3320.1,1346.8,360.2,176.9
2026-M002-KOR-CZE_CZE_17,109.0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,CZE_lukas_provod,Lukas PROVOD,17,51,45.0,Czechia,CZE,33.3,7928.0,2419.7,3515.7,1282.9,517.2,192.6
2026-M002-KOR-CZE_CZE_20,96.0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,CZE_jaroslav_zeleny,Jaroslav ZELENY,20,51,49.0,Czechia,CZE,30.4,10847.7,4053.7,4705.6,1263.4,629.5,195.5
2026-M002-KOR-CZE_CZE_22,153.0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,CZE_tomas_soucek,Tomas SOUCEK,22,51,30.0,Czechia,CZE,27.5,11828.0,3337.2,6080.7,1821.5,512.0,76.5
2026-M002-KOR-CZE_CZE_24,163.0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,CZE_alexandr_sojka,Alexandr SOJKA,24,51,50.0,Czechia,CZE,29.9,10700.6,3149.1,4759.4,1949.2,682.0,160.9
2026-M002-KOR-CZE_CZE_09,49.0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,CZE_adam_hlozek,Adam HLOZEK,9,51,20.0,Czechia,CZE,30.8,3767.4,1305.4,1609.6,564.0,218.1,70.4
2026-M002-KOR-CZE_CZE_13,17.0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,CZE_mojmir_chytil,Mojmir CHYTIL,13,51,8.0,Czechia,CZE,29.7,1627.3,535.6,719.4,191.3,118.2,62.7
2026-M002-KOR-CZE_CZE_18,71.0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,CZE_michal_sadilek,Michal SADILEK,18,51,30.0,Czechia,CZE,29.3,3922.7,1014.3,1688.5,771.3,364.4,84.2
2026-M002-KOR-CZE_CZE_19,36.0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,CZE_tomas_chory,Tomas CHORY,19,51,18.0,Czechia,CZE,28.3,3339.2,1351.1,1265.9,459.4,213.2,49.5
2026-M003-CAN-BIH_CAN_16,18.0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_maxime_crepeau,Maxime CREPEAU,16,50,2.0,Canada,CAN,24.1,5354.4,3767.7,1394.0,167.5,25.2,0.0
2026-M003-CAN-BIH_CAN_02,145.0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_alistair_johnston,Alistair JOHNSTON,2,50,48.0,Canada,CAN,33.3,10720.1,3769.8,4243.0,1797.4,526.3,383.6
2026-M003-CAN-BIH_CAN_04,125.0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_luc_de_fougerolles,Luc DE FOUGEROLLES,4,50,38.0,Canada,CAN,31.6,10376.3,3594.7,4713.9,1312.4,609.9,145.4
2026-M003-CAN-BIH_CAN_07,204.0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_stephen_eustaquio,Stephen EUSTAQUIO,7,50,58.0,Canada,CAN,29.8,11718.5,3350.9,4854.8,2542.4,862.4,108.0
2026-M003-CAN-BIH_CAN_08,124.0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_ismael_kone,Ismael KONE,8,50,28.0,Canada,CAN,28.5,10875.7,3922.5,4958.0,1443.4,436.4,115.4
2026-M003-CAN-BIH_CAN_10,84.0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_jonathan_david,Jonathan DAVID,10,50,32.0,Canada,CAN,31.7,7432.5,2594.0,3247.8,1071.1,314.3,205.3
2026-M003-CAN-BIH_CAN_11,86.0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_liam_millar,Liam MILLAR,11,50,41.0,Canada,CAN,32.8,7110.3,2529.1,2804.1,1023.5,464.7,289.0
2026-M003-CAN-BIH_CAN_12,89.0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_tani_oluwaseyi,Tani OLUWASEYI,12,50,42.0,Canada,CAN,33.4,7844.6,3147.6,2887.1,1050.5,459.8,299.6
2026-M003-CAN-BIH_CAN_13,86.0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_derek_cornelius,Derek CORNELIUS,13,50,23.0,Canada,CAN,28.2,9065.3,4167.6,3441.6,1026.4,346.5,83.1
