appearance_id,cutback,driven,inswing,lofted,match_id,match_team_id,outswing,player_id,player_name,push_cross,shirt_number,team,team_id,topic,total_attempted
2026-M002-KOR-CZE_CZE_17,0,0,0,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,0,CZE_lukas_provod,Lukas PROVOD,1,17,Czechia,CZE,crosses_open_play,1
2026-M002-KOR-CZE_CZE_20,0,0,0,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,2,CZE_jaroslav_zeleny,Jaroslav ZELENY,0,20,Czechia,CZE,crosses_open_play,2
2026-M002-KOR-CZE_CZE_22,0,0,0,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,0,CZE_tomas_soucek,Tomas SOUCEK,0,22,Czechia,CZE,crosses_open_play,0
2026-M002-KOR-CZE_CZE_24,0,0,0,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,0,CZE_alexandr_sojka,Alexandr SOJKA,0,24,Czechia,CZE,crosses_open_play,0
2026-M002-KOR-CZE_CZE_09,0,0,0,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,0,CZE_adam_hlozek,Adam HLOZEK,0,9,Czechia,CZE,crosses_open_play,0
2026-M002-KOR-CZE_CZE_13,0,0,0,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,0,CZE_mojmir_chytil,Mojmir CHYTIL,0,13,Czechia,CZE,crosses_open_play,0
2026-M002-KOR-CZE_CZE_18,0,0,0,1,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,0,CZE_michal_sadilek,Michal SADILEK,0,18,Czechia,CZE,crosses_open_play,1
2026-M002-KOR-CZE_CZE_19,0,0,0,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,0,CZE_tomas_chory,Tomas CHORY,0,19,Czechia,CZE,crosses_open_play,0
2026-M003-CAN-BIH_CAN_16,0,0,0,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,0,CAN_maxime_crepeau,Maxime CREPEAU,0,16,Canada,CAN,crosses_open_play,0
2026-M003-CAN-BIH_CAN_02,0,0,1,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,1,CAN_alistair_johnston,Alistair JOHNSTON,0,2,Canada,CAN,crosses_open_play,2
2026-M003-CAN-BIH_CAN_04,1,0,0,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,0,CAN_luc_de_fougerolles,Luc DE FOUGEROLLES,0,4,Canada,CAN,crosses_open_play,1
2026-M003-CAN-BIH_CAN_07,1,0,0,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,1,CAN_stephen_eustaquio,Stephen EUSTAQUIO,0,7,Canada,CAN,crosses_open_play,2
2026-M003-CAN-BIH_CAN_08,0,0,1,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,0,CAN_ismael_kone,Ismael KONE,0,8,Canada,CAN,crosses_open_play,1
2026-M003-CAN-BIH_CAN_10,0,0,0,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,1,CAN_jonathan_david,Jonathan DAVID,2,10,Canada,CAN,crosses_open_play,3
2026-M003-CAN-BIH_CAN_11,0,0,1,1,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,2,CAN_liam_millar,Liam MILLAR,0,11,Canada,CAN,crosses_open_play,4
2026-M003-CAN-BIH_CAN_12,0,0,0,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,0,CAN_tani_oluwaseyi,Tani OLUWASEYI,2,12,Canada,CAN,crosses_open_play,2
2026-M003-CAN-BIH_CAN_13,0,0,0,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,1,CAN_derek_cornelius,Derek CORNELIUS,0,13,Canada,CAN,crosses_open_play,1
2026-M003-CAN-BIH_CAN_17,0,1,0,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,1,CAN_tajon_buchanan,Tajon BUCHANAN,1,17,Canada,CAN,crosses_open_play,3
2026-M003-CAN-BIH_CAN_22,0,0,0,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,0,CAN_richie_laryea,Richie LARYEA,0,22,Canada,CAN,crosses_open_play,0
2026-M003-CAN-BIH_CAN_09,0,0,0,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,0,CAN_cyle_larin,Cyle LARIN,0,9,Canada,CAN,crosses_open_play,0
2026-M003-CAN-BIH_CAN_14,0,0,0,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,1,CAN_jacob_shaffelburg,Jacob SHAFFELBURG,0,14,Canada,CAN,crosses_open_play,1
2026-M003-CAN-BIH_CAN_20,0,0,1,1,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,1,CAN_ali_ahmed,Ali AHMED,0,20,Canada,CAN,crosses_open_play,3
2026-M003-CAN-BIH_CAN_21,0,0,0,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,0,CAN_jonathan_osorio,Jonathan OSORIO,0,21,Canada,CAN,crosses_open_play,0
2026-M003-CAN-BIH_CAN_24,0,0,0,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,0,CAN_promise_david,Promise DAVID,0,24,Canada,CAN,crosses_open_play,0
2026-M003-CAN-BIH_BIH_01,0,0,0,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,0,BIH_nikola_vasilj,Nikola VASILJ,0,1,Bosnia and Herzegovina,BIH,crosses_open_play,0
2026-M003-CAN-BIH_BIH_04,0,0,0,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,0,BIH_tarik_muharemovic,Tarik MUHAREMOVIC,0,4,Bosnia and Herzegovina,BIH,crosses_open_play,0
2026-M003-CAN-BIH_BIH_05,0,0,0,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,0,BIH_sead_kolasinac,Sead KOLASINAC,0,5,Bosnia and Herzegovina,BIH,crosses_open_play,0
2026-M003-CAN-BIH_BIH_06,0,0,0,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,0,BIH_benjamin_tahirovic,Benjamin TAHIROVIC,1,6,Bosnia and Herzegovina,BIH,crosses_open_play,1
2026-M003-CAN-BIH_BIH_07,0,0,0,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,0,BIH_amar_dedic,Amar DEDIC,0,7,Bosnia and Herzegovina,BIH,crosses_open_play,0
2026-M003-CAN-BIH_BIH_10,0,0,0,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,0,BIH_ermedin_demirovic,Ermedin DEMIROVIC,0,10,Bosnia and Herzegovina,BIH,crosses_open_play,0
2026-M003-CAN-BIH_BIH_13,0,0,1,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,0,BIH_ivan_basic,Ivan BASIC,0,13,Bosnia and Herzegovina,BIH,crosses_open_play,1
2026-M003-CAN-BIH_BIH_15,0,0,0,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,0,BIH_amar_memic,Amar MEMIC,0,15,Bosnia and Herzegovina,BIH,crosses_open_play,0
2026-M003-CAN-BIH_BIH_18,0,0,0,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,0,BIH_nikola_katic,Nikola KATIC,0,18,Bosnia and Herzegovina,BIH,crosses_open_play,0
2026-M003-CAN-BIH_BIH_20,0,0,0,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,0,BIH_esmir_bajraktarevic,Esmir BAJRAKTAREVIC,0,20,Bosnia and Herzegovina,BIH,crosses_open_play,0
2026-M003-CAN-BIH_BIH_25,0,0,0,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,0,BIH_jovo_lukic,Jovo LUKIC,0,25,Bosnia and Herzegovina,BIH,crosses_open_play,0
2026-M003-CAN-BIH_BIH_08,0,0,0,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,0,BIH_armin_gigovic,Armin GIGOVIC,0,8,Bosnia and Herzegovina,BIH,crosses_open_play,0
2026-M003-CAN-BIH_BIH_09,0,0,0,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,0,BIH_samed_bazdar,Samed BAZDAR,0,9,Bosnia and Herzegovina,BIH,crosses_open_play,0
2026-M003-CAN-BIH_BIH_14,0,0,0,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,0,BIH_ivan_sunjic,Ivan SUNJIC,0,14,Bosnia and Herzegovina,BIH,crosses_open_play,0
2026-M003-CAN-BIH_BIH_17,0,0,0,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,0,BIH_dzenis_burnic,Dzenis BURNIC,0,17,Bosnia and Herzegovina,BIH,crosses_open_play,0
2026-M003-CAN-BIH_BIH_19,0,0,0,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,0,BIH_kerim_alajbegovic,Kerim ALAJBEGOVIC,0,19,Bosnia and Herzegovina,BIH,crosses_open_play,0
2026-M004-USA-PAR_USA_24,0,0,0,0,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,0,USA_matt_freese,Matt FREESE,0,24,USA,USA,crosses_open_play,0
2026-M004-USA-PAR_USA_02,0,0,0,0,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,1,USA_sergino_dest,Sergino DEST,5,2,USA,USA,crosses_open_play,6
2026-M004-USA-PAR_USA_03,0,0,0,0,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,0,USA_chris_richards,Chris RICHARDS,0,3,USA,USA,crosses_open_play,0
2026-M004-USA-PAR_USA_04,0,0,0,0,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,0,USA_tyler_adams,Tyler ADAMS,0,4,USA,USA,crosses_open_play,0
2026-M004-USA-PAR_USA_05,0,0,1,0,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,3,USA_antonee_robinson,Antonee ROBINSON,0,5,USA,USA,crosses_open_play,4
2026-M004-USA-PAR_USA_08,1,0,0,0,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,2,USA_weston_mckennie,Weston McKENNIE,1,8,USA,USA,crosses_open_play,4
2026-M004-USA-PAR_USA_10,0,0,0,1,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,1,USA_christian_pulisic,Christian PULISIC,0,10,USA,USA,crosses_open_play,2
2026-M004-USA-PAR_USA_13,0,0,0,0,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,0,USA_tim_ream,Tim REAM,0,13,USA,USA,crosses_open_play,0
2026-M004-USA-PAR_USA_16,0,0,0,0,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,1,USA_alex_freeman,Alex FREEMAN,0,16,USA,USA,crosses_open_play,1
2026-M004-USA-PAR_USA_17,0,0,0,0,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,0,USA_malik_tillman,Malik TILLMAN,0,17,USA,USA,crosses_open_play,0
2026-M004-USA-PAR_USA_20,0,0,0,0,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,0,USA_folarin_balogun,Folarin BALOGUN,1,20,USA,USA,crosses_open_play,1
2026-M004-USA-PAR_USA_07,0,0,0,0,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,0,USA_giovanni_reyna,Giovanni REYNA,0,7,USA,USA,crosses_open_play,0
2026-M004-USA-PAR_USA_09,0,0,0,0,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,0,USA_ricardo_pepi,Ricardo PEPI,1,9,USA,USA,crosses_open_play,1
2026-M004-USA-PAR_USA_14,0,0,0,0,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,0,USA_sebastian_berhalter,Sebastian BERHALTER,0,14,USA,USA,crosses_open_play,0
2026-M004-USA-PAR_USA_21,0,0,0,0,2026-M004-USA-PAR,2026-M004-USA-PAR_USA,0,USA_timothy_weah,Timothy WEAH,0,21,USA,USA,crosses_open_play,0
2026-M004-USA-PAR_PAR_12,0,0,0,0,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,0,PAR_orlando_gill,Orlando GILL,0,12,Paraguay,PAR,crosses_open_play,0
2026-M004-USA-PAR_PAR_03,0,0,0,0,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,0,PAR_omar_alderete,Omar ALDERETE,0,3,Paraguay,PAR,crosses_open_play,0
2026-M004-USA-PAR_PAR_04,0,2,0,0,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,1,PAR_juan_jose_caceres,Juan Jose CACERES,0,4,Paraguay,PAR,crosses_open_play,3
2026-M004-USA-PAR_PAR_06,0,0,0,0,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,0,PAR_junior_alonso,Junior ALONSO,0,6,Paraguay,PAR,crosses_open_play,0
2026-M004-USA-PAR_PAR_08,0,0,0,0,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,0,PAR_diego_gomez,Diego GOMEZ,0,8,Paraguay,PAR,crosses_open_play,0
2026-M004-USA-PAR_PAR_09,0,0,0,0,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,0,PAR_antonio_sanabria,Antonio SANABRIA,0,9,Paraguay,PAR,crosses_open_play,0
2026-M004-USA-PAR_PAR_10,0,0,0,0,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,0,PAR_miguel_almiron,Miguel ALMIRON,0,10,Paraguay,PAR,crosses_open_play,0
2026-M004-USA-PAR_PAR_14,0,0,0,0,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,0,PAR_andres_cubas,Andres CUBAS,0,14,Paraguay,PAR,crosses_open_play,0
2026-M004-USA-PAR_PAR_15,0,0,0,0,2026-M004-USA-PAR,2026-M004-USA-PAR_PAR,0,PAR_gustavo_gomez,Gustavo GOMEZ,0,15,Paraguay,PAR,crosses_open_play,0
