category,from_left_side,from_right_side,match_id,match_team_id,metric,source_page,team,team_id,value
free_kicks,,,2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,Direct (off target),39,Haiti,HAI,0
free_kicks,,,2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,Indirect,39,Haiti,HAI,1
summary,,,2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,total_set_plays,39,Haiti,HAI,40
summary,,,2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,total_free_kicks,39,Haiti,HAI,22
summary,,,2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,total_penalties,39,Haiti,HAI,0
summary,,,2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,total_corners,39,Haiti,HAI,4
summary,,,2026-M005-HAI-SCO,2026-M005-HAI-SCO_HAI,total_throw_ins,39,Haiti,HAI,14
corners_delivery_type,1,2,2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,Direct to Area,40,Scotland,SCO,3
corners_delivery_type,0,0,2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,Short,40,Scotland,SCO,0
corners_delivery_type,0,0,2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,Edge of Penalty Area,40,Scotland,SCO,0
corners_delivery_style,,,2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,Inswing,40,Scotland,SCO,3
corners_delivery_style,,,2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,Outswing,40,Scotland,SCO,0
corners_delivery_style,,,2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,Driven,40,Scotland,SCO,0
corners_delivery_style,,,2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,Lofted,40,Scotland,SCO,0
free_kicks,,,2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,Direct,40,Scotland,SCO,23
free_kicks,,,2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,Direct (on target),40,Scotland,SCO,0
free_kicks,,,2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,Direct (off target),40,Scotland,SCO,0
free_kicks,,,2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,Indirect,40,Scotland,SCO,3
summary,,,2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,total_set_plays,40,Scotland,SCO,52
summary,,,2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,total_free_kicks,40,Scotland,SCO,26
summary,,,2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,total_penalties,40,Scotland,SCO,0
summary,,,2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,total_corners,40,Scotland,SCO,3
summary,,,2026-M005-HAI-SCO,2026-M005-HAI-SCO_SCO,total_throw_ins,40,Scotland,SCO,23
corners_delivery_type,1,4,2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,Direct to Area,40,Australia,AUS,5
corners_delivery_type,0,0,2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,Short,40,Australia,AUS,0
corners_delivery_type,0,0,2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,Edge of Penalty Area,40,Australia,AUS,0
corners_delivery_style,,,2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,Inswing,40,Australia,AUS,2
corners_delivery_style,,,2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,Outswing,40,Australia,AUS,1
corners_delivery_style,,,2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,Driven,40,Australia,AUS,0
corners_delivery_style,,,2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,Lofted,40,Australia,AUS,2
free_kicks,,,2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,Direct,40,Australia,AUS,4
free_kicks,,,2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,Direct (on target),40,Australia,AUS,0
free_kicks,,,2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,Direct (off target),40,Australia,AUS,0
free_kicks,,,2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,Indirect,40,Australia,AUS,3
summary,,,2026-M006-AUS-TUR,2026-M006-AUS-TUR_AUS,total_set_plays,40,Australia,AUS,26
