match_id,match_team_id,metric,raw,team,team_id,unit,value
2026-M007-BRA-MAR,2026-M007-BRA-MAR_BRA,Completed Line Breaks,89,Brazil,BRA,,89
2026-M007-BRA-MAR,2026-M007-BRA-MAR_MAR,Completed Line Breaks,81,Morocco,MAR,,81
2026-M007-BRA-MAR,2026-M007-BRA-MAR_BRA,Defensive Line Breaks,11,Brazil,BRA,,11
2026-M007-BRA-MAR,2026-M007-BRA-MAR_MAR,Defensive Line Breaks,5,Morocco,MAR,,5
2026-M007-BRA-MAR,2026-M007-BRA-MAR_BRA,Receptions in the Final Third,100,Brazil,BRA,,100
2026-M007-BRA-MAR,2026-M007-BRA-MAR_MAR,Receptions in the Final Third,149,Morocco,MAR,,149
2026-M007-BRA-MAR,2026-M007-BRA-MAR_BRA,Crosses,19,Brazil,BRA,,19
2026-M007-BRA-MAR,2026-M007-BRA-MAR_MAR,Crosses,14,Morocco,MAR,,14
2026-M007-BRA-MAR,2026-M007-BRA-MAR_BRA,Ball Progressions,30,Brazil,BRA,,30
2026-M007-BRA-MAR,2026-M007-BRA-MAR_MAR,Ball Progressions,49,Morocco,MAR,,49
2026-M007-BRA-MAR,2026-M007-BRA-MAR_BRA,Defensive Pressures Applied (Direct Pressures),315 (54),Brazil,BRA,,315 (54)
2026-M007-BRA-MAR,2026-M007-BRA-MAR_MAR,Defensive Pressures Applied (Direct Pressures),285 (41),Morocco,MAR,,285 (41)
2026-M007-BRA-MAR,2026-M007-BRA-MAR_BRA,Forced Turnovers,41,Brazil,BRA,,41
2026-M007-BRA-MAR,2026-M007-BRA-MAR_MAR,Forced Turnovers,50,Morocco,MAR,,50
2026-M007-BRA-MAR,2026-M007-BRA-MAR_BRA,Second Balls,56,Brazil,BRA,,56
2026-M007-BRA-MAR,2026-M007-BRA-MAR_MAR,Second Balls,79,Morocco,MAR,,79
2026-M007-BRA-MAR,2026-M007-BRA-MAR_BRA,Total Distance Covered,113.7 km,Brazil,BRA,km,113.7
2026-M007-BRA-MAR,2026-M007-BRA-MAR_MAR,Total Distance Covered,114.9 km,Morocco,MAR,km,114.9
2026-M007-BRA-MAR,2026-M007-BRA-MAR_BRA,Zone 4 - Low Speed Sprinting: 20-25 km/h,6.8 km,Brazil,BRA,km,6.8
2026-M007-BRA-MAR,2026-M007-BRA-MAR_MAR,Zone 4 - Low Speed Sprinting: 20-25 km/h,6.5 km,Morocco,MAR,km,6.5
2026-M008-QAT-SUI,2026-M008-QAT-SUI_QAT,Possession,28.8%,Qatar,QAT,%,28.8
2026-M008-QAT-SUI,,Possession,12.5%,contest,CONTEST,%,12.5
2026-M008-QAT-SUI,2026-M008-QAT-SUI_SUI,Possession,58.7%,Switzerland,SUI,%,58.7
2026-M008-QAT-SUI,2026-M008-QAT-SUI_QAT,Goals,1,Qatar,QAT,,1
2026-M008-QAT-SUI,2026-M008-QAT-SUI_SUI,Goals,1,Switzerland,SUI,,1
