appearance_id,appeared,goal_minutes,is_starter,match_id,match_team_id,own_goal_minutes,player_id,player_name,position,red_card_minutes,shirt_number,status,subbed_off_minutes,subbed_on_minutes,team,team_id,team_role,yellow_card_minutes
2026-M003-CAN-BIH_CAN_01,False,,False,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,,CAN_dayne_st_clair,Dayne ST. CLAIR,GK,,1,substitute,,,Canada,CAN,home,
2026-M003-CAN-BIH_CAN_18,False,,False,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,,CAN_owen_goodman,Owen GOODMAN,GK,,18,substitute,,,Canada,CAN,home,
2026-M003-CAN-BIH_CAN_03,False,,False,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,,CAN_alfie_jones,Alﬁe JONES,DF,,3,substitute,,,Canada,CAN,home,
2026-M003-CAN-BIH_CAN_05,False,,False,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,,CAN_joel_waterman,Joel WATERMAN,DF,,5,substitute,,,Canada,CAN,home,
2026-M003-CAN-BIH_CAN_06,False,,False,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,,CAN_mathieu_choiniere,Mathieu CHOINIERE,MF,,6,substitute,,,Canada,CAN,home,
2026-M003-CAN-BIH_CAN_09,True,79,False,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,,CAN_cyle_larin,Cyle LARIN,FW,,9,substitute,,76,Canada,CAN,home,
2026-M003-CAN-BIH_CAN_14,True,,False,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,,CAN_jacob_shaffelburg,Jacob SHAFFELBURG,MF,,14,substitute,,61,Canada,CAN,home,
2026-M003-CAN-BIH_CAN_15,False,,False,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,,CAN_moise_bombito,Moise BOMBITO,DF,,15,substitute,,,Canada,CAN,home,
2026-M003-CAN-BIH_CAN_19,False,,False,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,,CAN_alphonso_davies,Alphonso DAVIES,DF,,19,substitute,,,Canada,CAN,home,
2026-M003-CAN-BIH_CAN_20,True,,False,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,,CAN_ali_ahmed,Ali AHMED,FW,,20,substitute,,61,Canada,CAN,home,
2026-M003-CAN-BIH_CAN_21,True,,False,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,,CAN_jonathan_osorio,Jonathan OSORIO,MF,,21,substitute,,91,Canada,CAN,home,
2026-M003-CAN-BIH_CAN_23,False,,False,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,,CAN_niko_sigur,Niko SIGUR,DF,,23,substitute,,,Canada,CAN,home,
2026-M003-CAN-BIH_CAN_24,True,,False,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,,CAN_promise_david,Promise DAVID,FW,,24,substitute,,61,Canada,CAN,home,
2026-M003-CAN-BIH_CAN_25,False,,False,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,,CAN_nathan_saliba,Nathan SALIBA,MF,,25,substitute,,,Canada,CAN,home,
